1;69
93;8
56;50
9;35
62;95
77;26
2;48
39;19
85;96
25;74
91;65
63;86
74;58
56;47
8;99
68;15
75;9
12;14
1;32
79;73
99;64
64;56
27;53
2;56
30;65
82;27
66;73
83;45
93;40
92;39
6;1
62;12
26;82
66;74
99;28
44;45
53;51
4;60
16;33
98;6
34;47
72;80
26;52
92;56
95;71
24;36
49;2
36;86
13;27
7;2
99;64
15;3
64;52
85;20
26;32
31;35
68;12
64;4
60;46
17;9
97;7
61;41
79;98
26;97
51;44
9;85
89;50
3;24
44;5
37;40
76;23
87;69
25;96
42;52
13;85
44;59
52;10
9;6
55;31
76;87
24;7
57;37
61;65
70;60
53;6
81;60
29;81
77;68
72;6
91;19
30;85
48;87
45;82
65;57
96;1
8;93
30;20
86;65
78;92
50;8
68;83
64;83
51;49
55;93
12;24
61;98
86;42
76;9
66;31
84;93
39;14
35;92
10;21
65;73
81;40
75;67
50;2
51;39
32;2
78;7
