48;74
80;14
21;16
49;23
22;84
73;71
54;46
38;93
48;1
84;55
61;65
37;0
42;29
64;16
99;21
48;78
44;99
16;28
3;65
49;65
36;78
76;75
68;90
44;15
22;16
33;28
29;83
65;22
39;23
45;81
59;38
38;45
25;55
21;6
71;28
58;22
49;7
50;35
50;17
86;94
74;24
60;19
42;55
79;25
6;81
71;76
21;18
73;61
67;46
26;46
21;90
50;85
20;70
40;52
98;22
46;26
45;72
28;6
83;39
72;7
83;42
60;96
57;56
2;85
84;77
67;28
65;5
27;69
21;85
59;67
93;19
92;58
64;91
82;72
79;0
42;55
51;14
70;2
39;60
37;24
4;23
80;57
26;70
7;60
27;48
67;19
77;73
16;11
83;93
93;98
5;14
28;35
89;56
17;50
26;29
4;54
63;31
53;85
97;90
38;60
79;76
1;57
69;56
2;17
68;4
19;95
31;73
30;47
50;72
1;99
5;76
7;6
43;69
59;60
73;92
68;49
58;4
13;70
87;27
84;15
