84;46
82;82
78;16
90;23
23;34
60;26
88;98
84;40
39;87
24;42
37;10
75;45
4;19
74;94
84;98
96;99
33;68
37;78
54;64
98;79
58;29
79;10
51;46
86;64
6;42
4;10
55;43
14;79
73;11
62;88
40;10
30;10
41;73
37;67
99;47
76;88
98;57
55;56
20;1
95;41
3;26
21;99
78;11
74;36
24;4
14;36
47;16
90;44
64;40
87;79
19;63
72;63
19;70
71;27
69;91
17;19
18;24
35;91
27;49
53;10
98;3
20;19
15;97
37;62
41;31
94;24
88;13
83;18
46;59
51;6
25;67
91;20
11;96
45;79
89;90
46;50
21;39
37;66
80;36
20;74
51;73
86;14
85;39
50;69
28;31
50;1
22;53
1;41
72;85
76;98
48;13
53;22
40;21
10;90
16;72
45;30
96;67
58;84
5;81
64;9
62;33
87;14
8;36
22;88
39;80
94;50
24;87
61;47
89;16
88;71
53;57
77;85
69;49
83;87
48;75
8;47
62;11
47;47
88;70
2;21
