95;36
21;18
30;1
40;61
15;66
55;73
46;25
23;87
34;80
59;30
69;58
7;88
0;12
98;49
3;4
40;34
53;98
51;13
74;35
1;44
17;89
67;8
95;63
95;42
72;81
39;6
94;41
5;98
0;95
51;55
90;3
54;91
4;95
30;5
49;30
72;83
91;18
34;39
33;38
20;29
36;5
99;11
62;82
29;4
60;62
65;80
23;50
97;71
77;79
10;27
10;78
97;34
25;1
39;31
60;58
63;11
75;48
31;14
19;37
99;60
93;31
33;16
88;16
48;30
57;17
95;58
44;19
72;92
23;69
27;63
75;36
84;42
57;50
87;67
80;28
59;38
54;73
41;92
22;94
11;89
99;31
50;7
51;43
12;22
85;27
63;91
86;12
14;99
67;95
75;1
91;47
72;34
78;46
40;13
3;52
35;4
63;2
98;85
59;14
93;10
54;96
61;8
8;92
39;75
77;27
74;14
0;68
66;98
11;30
82;59
15;14
69;17
54;78
44;67
29;65
61;38
46;35
27;22
98;6
33;18
